,0_SD7449_H041_pH7,1_SD7450_H042_pH7,2_SD7451_H043_pH7,3_SD7452_H044_pH7,4_SD7453_H045_pH7,5_SD7454_H046_pH7,6_SD7455_H048_pH7,7_SD7456_H049_pH7,8_SD7458_H051_pH7,9_SD7460_H053_pH7,10_SD7461_H054_pH7,11_SD7462_H055_pH7,12_SD7463_H056_pH7,13_SD7464_H057_pH7,14_SD7465_H058_pH7,16_SD7467_H061_pH6.5,17_SD7468_H062_pH6.5,18_SD7469_H063_pH6.5,19_SD7470_H065_pH6.5,20_SD7471_H067_pH6.5,21_SD7472_H068_pH6.5,22_SD7473_H069_pH6.5,23_SD7474_H070_pH6.5,24_SD7475_H071_pH6.5,25_SD7476_H072_pH6.5,26_SD7477_H073_pH6.5,27_SD7478_H074_pH6.5,28_SD7479_H075_pH6.5,29_SD7480_H076_pH6.5,30_SD7481_H077_pH6.5,31_SD7482_H078_pH6.5,32_SD7483_H079_pH6.5,33_SD7484_H080_pH6.5,34_SD7485_H081_pH6,36_SD7487_H085_pH6,37_SD7488_H086_pH6,38_SD7489_H087_pH6,39_SD7490_H089_pH6,40_SD7491_H090_pH6,41_SD7492_H091_pH6,42_SD7493_H092_pH6,43_SD7494_H093_pH6,44_SD7495_H094_pH6,45_SD7496_H095_pH6,46_SD7497_H096_pH6,47_SD7498_H097_pH6,48_SD7499_H098_pH6,49_SD7500_H099_pH6,50_SD7501_H100_pH6,51_SD7502_H101_pH5.5,52_SD7503_H102_pH5.5,53_SD7504_H103_pH5.5,54_SD7505_H104_pH5.5,55_SD7506_H105_pH5.5,56_SD7507_H106_pH5.5,57_SD7508_H107_pH5.5,58_SD7509_H109_pH5.5,59_SD7510_H110_pH5.5,60_SD7511_H111_pH5.5,61_SD7512_H113_pH5.5,62_SD7513_H114_pH5.5,63_SD7514_H115_pH5.5,64_SD7515_H116_pH5.5,65_SD7516_H117_pH5.5,66_SD7517_H119_pH5.5,67_SD7518_H120_pH5.5,68_SD7519_S121,69_SD7520_S122,70_SD7521_S123,71_SD7522_S124,72_SD7523_S125,73_SD7524_S126,74_SD7525_S127,75_SD7526_S128,76_SD7527_S129,77_SD7528_S130,78_SD7529_S131,79_SD7530_S132,80_SD7531_S133,81_SD7532_S134,82_SD7533_S135,83_SD7534_S136,84_SD7535_S137,85_SD7536_S138,86_SD7537_S139,87_SD7538_S140,88_SD7539_S141,89_SD7540_S142,90_SD7541_S143,91_SD7542_S144,93_SD7544_S146,94_SD7545_S147,95_SD7546_S148,96_SD7547_S149,97_SD7548_S150,98_SD7549_S151,99_SD7550_S152,100_SD7551_S153,101_SD7552_S154,102_SD7553_S155,103_SD7554_S156,104_SD7555_S157,105_SD7556_S158,106_SD7557_S159,107_SD7558_S160,108_SD7559_S161,109_SD7560_S162,110_SD7561_S163,111_SD7562_S164,112_SD7563_S165,113_SD7564_S166,114_SD7565_S167,115_SD7566_S168,116_SD7567_S169,117_SD7568_S170,118_SD7569_S171,119_SD7570_S172,120_SD7571_S173,121_SD7572_S174,122_SD7573_S175
gtdb_r207_glnA,296.08,408.43,246.0,474.0,308.0,271.09,286.0,397.33,305.55,320.6,216.18,662.17,226.19,224.46,388.11,274.09,268.1,417.14,262.75,370.0,435.88,278.71,563.0,244.0,245.36,307.75,223.5,418.11,NA,256.0,331.5,168.44,267.5,309.0,306.1,305.1,320.08,209.62,231.5,388.11,309.75,251.0,291.21,551.2,252.0,216.33,900.0,307.55,307.46,249.71,239.58,187.83,395.62,315.38,323.33,227.27,564.25,485.43,329.91,259.55,216.15,239.58,459.75,215.0,357.0,226.27,239.08,152.67,158.09,237.91,234.55,376.25,246.36,244.11,158.88,252.91,204.09,171.55,252.0,238.91,227.0,253.33,202.6,316.38,450.14,348.5,129.88,193.38,123.91,544.43,235.0,214.1,257.62,109.88,224.11,187.6,205.15,227.5,311.14,257.0,166.23,232.0,139.0,201.6,244.17,195.38,135.75,131.07,145.15,218.67,323.25,151.15,170.5,205.33,152.67,110.09,90.0,95.27,162.07,183.6
gtdb_r207_glsA,435.0,308.75,155.0,191.5,69.25,171.0,115.0,116.43,543.0,134.0,149.0,228.6,78.77,115.0,230.25,118.38,84.5,176.0,158.43,158.43,209.5,151.86,150.5,84.5,211.0,201.0,215.0,476.5,NA,308.75,158.43,113.12,113.12,135.5,191.5,158.43,128.0,97.11,162.17,88.5,158.43,150.5,267.2,215.0,154.0,211.0,228.6,151.86,155.0,89.75,99.12,66.0,142.17,78.0,116.5,81.88,66.08,70.5,83.43,77.91,NA,88.5,92.0,133.0,319.5,162.17,191.5,134.0,NA,67.0,85.0,NA,62.67,92.0,97.11,67.25,90.17,108.0,150.5,346.0,87.5,53.38,63.11,73.43,NA,70.5,NA,NA,NA,118.38,NA,NA,NA,NA,33.0,NA,NA,158.43,62.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_gltB,67.67,184.0,74.17,78.2,76.86,59.14,66.62,124.67,138.2,116.5,59.25,93.25,85.0,66.55,118.2,182.0,115.25,85.0,123.67,109.6,94.0,93.0,92.0,139.2,85.0,160.0,80.0,83.6,NA,89.17,90.75,111.5,163.0,52.0,89.75,168.0,51.38,81.43,216.0,122.75,70.33,155.25,60.67,81.88,63.88,111.86,75.11,129.25,63.88,49.86,87.2,60.0,56.1,66.67,45.0,68.0,171.33,60.67,100.0,80.6,69.5,64.2,60.67,55.75,130.5,92.33,58.6,38.6,34.75,67.0,61.2,60.0,62.0,43.2,58.25,58.0,93.0,52.5,94.0,90.33,67.0,42.5,45.11,53.5,134.0,51.38,72.0,49.12,87.2,129.5,74.5,34.75,85.0,45.0,40.6,77.2,43.5,80.88,64.11,83.6,33.8,114.25,57.0,58.6,48.86,31.75,32.0,44.14,31.25,46.0,75.17,74.5,76.86,26.43,41.5,34.14,36.33,77.0,33.14,71.33
gtdb_r207_gltD,2142.52,4110.12,3987.0,1918.02,1556.77,3530.69,2241.07,4039.04,2912.03,2937.18,2715.5,4790.27,1811.35,2460.14,2762.09,2479.15,3149.68,3012.64,3094.1,2929.17,1862.62,2755.37,2707.6,3530.86,2798.82,3683.58,3191.45,3038.62,NA,4254.43,4057.0,2899.0,2562.08,2830.03,3233.52,3355.1,2959.0,4407.5,2882.45,2831.03,3608.5,3325.33,3271.75,3024.91,2411.08,3092.0,6412.12,2188.64,3483.5,2304.72,2971.34,1882.64,3080.03,1999.98,1811.56,1895.63,3299.44,2494.68,2415.07,2496.16,1609.71,2292.92,2326.38,2574.67,2140.08,2382.49,2124.24,1820.19,1209.87,2656.0,1640.25,1322.62,1276.52,1311.3,1841.17,1549.0,1725.38,1401.42,2540.0,1962.14,2315.54,1989.1,2301.6,1257.47,1737.0,1398.27,1379.02,987.98,1055.38,3173.97,1333.64,967.86,1166.02,1051.56,998.12,1350.05,1123.48,2120.0,1174.6,1165.72,1147.75,1172.0,930.0,816.98,650.31,647.23,820.55,699.92,810.8,1111.07,1847.14,1087.12,1084.12,1073.23,948.02,498.46,651.56,693.31,980.08,850.96
gtdb_r207_gltS,51.0,138.5,66.62,107.43,124.75,110.5,128.5,78.2,149.0,92.0,78.5,163.0,80.0,61.0,62.0,192.0,95.5,63.0,53.11,182.0,46.11,129.5,68.0,60.3,96.0,94.0,95.5,101.0,NA,130.5,82.0,78.8,98.11,101.14,86.2,125.0,88.17,59.25,86.0,89.17,132.0,118.2,135.5,137.5,67.0,81.0,118.2,132.0,72.43,76.5,129.5,89.2,99.0,209.5,69.0,182.0,32.0,94.5,62.0,91.0,92.0,83.0,59.67,117.33,69.5,82.43,66.0,61.2,86.75,75.43,122.0,62.2,92.25,64.25,57.6,59.25,69.75,111.5,130.5,57.67,82.0,136.5,70.0,68.75,46.0,62.67,182.0,53.5,111.5,87.14,38.12,134.0,115.33,50.67,44.0,48.12,41.33,88.14,141.33,39.67,46.0,57.14,45.0,42.5,46.0,26.0,40.5,29.88,43.0,93.25,80.6,105.0,51.38,47.0,38.67,26.43,27.0,37.17,45.0,64.25
gtdb_r207_gudB,267.2,267.2,371.0,273.07,247.59,202.21,212.83,227.46,441.0,174.5,359.0,376.0,299.77,335.55,284.93,381.0,195.46,276.3,204.56,273.07,182.32,273.57,309.0,243.93,255.57,342.6,309.5,220.06,NA,260.5,272.77,251.0,336.5,179.24,234.0,252.0,342.27,251.75,354.33,191.2,253.91,313.91,261.81,257.57,141.75,230.38,277.83,273.07,381.27,159.0,227.5,265.5,243.93,281.15,211.62,221.77,213.75,215.75,228.5,148.06,145.5,242.3,210.0,261.5,184.4,257.33,416.5,202.19,252.0,166.44,223.12,128.08,150.1,160.18,159.5,177.21,273.43,123.44,325.91,223.5,151.0,156.69,198.5,253.0,164.23,141.5,74.2,111.0,66.25,281.33,103.67,135.0,93.27,61.0,109.0,91.0,162.0,132.46,144.09,98.5,100.5,89.0,86.21,96.33,92.6,77.5,53.0,77.21,103.0,76.91,129.88,113.5,129.91,116.0,116.0,64.77,75.67,121.6,84.36,120.6
gtdb_r207_hao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_hcp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_hzo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_hzsA,175.0,154.0,144.43,107.0,69.5,542.0,175.0,116.5,144.43,128.0,215.0,542.0,100.0,144.43,107.0,218.2,100.14,393.0,192.2,144.43,218.2,128.0,144.43,121.14,154.0,347.0,250.0,147.0,NA,168.0,264.0,208.5,144.43,91.67,80.0,144.43,144.43,144.43,144.43,127.0,134.5,91.0,283.5,393.0,100.14,218.2,1275.0,104.33,250.0,138.2,189.75,283.5,542.0,127.0,393.0,66.55,121.75,203.33,69.91,192.2,59.3,107.0,192.2,347.0,88.75,144.43,134.5,128.0,95.25,79.6,80.88,45.91,87.33,91.0,195.5,50.27,47.0,99.0,283.5,73.43,140.17,61.09,128.0,60.3,80.0,198.5,53.33,20.25,19.0,91.67,37.2,50.25,21.5,52.0,52.2,32.75,49.86,86.14,98.0,57.25,84.0,67.75,22.33,34.0,22.0,27.0,56.0,NA,42.5,67.0,93.38,77.2,61.0,69.5,51.33,NA,25.0,36.33,36.5,36.0
gtdb_r207_hzsB,160.0,250.0,127.0,121.14,154.0,175.0,192.2,218.2,168.0,175.0,175.0,69.33,104.33,99.0,218.75,290.0,105.43,144.43,104.33,128.0,218.75,218.2,127.0,168.0,283.5,218.75,144.43,218.2,NA,250.0,104.33,121.75,134.5,128.5,144.43,160.0,175.0,283.5,127.0,154.0,134.5,128.0,218.2,218.2,168.0,250.0,332.0,175.0,192.2,283.5,121.75,91.0,154.0,175.0,154.0,152.2,175.0,168.0,80.0,134.5,54.25,121.67,115.25,134.5,76.62,63.0,94.5,109.86,65.67,188.75,72.0,82.6,46.0,69.5,62.67,57.0,65.62,141.33,109.5,99.0,77.2,163.0,107.0,72.0,80.0,93.5,46.0,NA,32.33,192.2,93.25,49.0,68.5,NA,51.25,45.0,52.0,99.0,143.6,61.11,NA,58.67,43.5,29.0,NA,18.25,22.33,NA,22.1,42.0,66.0,65.0,NA,39.2,155.0,NA,13.5,23.33,36.33,47.25
gtdb_r207_hzsC,892.0,808.62,1114.17,435.08,312.0,1003.67,1727.25,707.11,626.1,390.07,707.11,1114.17,560.0,707.11,626.1,1291.2,1058.17,1114.17,671.11,1359.2,445.25,1114.17,892.0,1114.17,1359.2,845.86,1058.17,808.62,NA,892.0,626.1,1160.6,659.0,689.0,2225.33,626.1,563.0,939.43,1114.17,845.86,939.43,892.0,3394.5,1114.17,1114.17,1359.2,3223.0,1727.25,1058.17,801.0,939.43,560.0,560.0,503.36,950.67,1003.67,933.0,1476.0,458.77,503.36,531.27,808.62,671.11,892.0,892.0,1359.2,1003.67,412.08,268.44,2038.0,1058.17,626.1,415.91,470.25,397.5,522.6,532.8,351.4,1476.0,767.62,458.77,385.07,689.0,801.0,512.5,493.91,267.5,312.23,256.67,808.62,192.14,267.2,359.33,246.4,350.75,252.0,336.21,445.25,437.3,346.23,453.83,222.5,285.93,407.5,184.31,256.08,224.5,258.08,278.88,255.08,2112.33,197.47,219.06,240.94,285.62,120.0,215.75,186.08,243.93,273.09
gtdb_r207_napA,307.5,307.5,858.0,445.0,255.86,252.0,489.75,252.0,612.0,255.86,445.0,301.0,197.0,489.75,401.5,255.86,673.0,516.33,217.38,1954.0,388.5,251.0,279.0,445.0,489.75,217.38,307.5,279.0,NA,312.0,269.5,445.0,829.0,886.5,255.86,612.0,307.5,307.5,255.86,445.0,673.0,380.2,380.2,380.2,445.0,445.0,673.0,307.5,489.75,345.2,279.0,209.43,187.67,232.0,402.5,380.2,947.0,243.0,279.0,255.86,312.0,430.25,430.25,209.43,148.6,380.2,312.0,217.38,249.0,154.86,252.0,187.67,145.0,148.6,345.2,132.33,138.5,174.0,345.2,201.86,947.0,322.2,217.38,362.25,243.0,190.12,301.0,115.6,171.0,279.0,142.11,135.88,125.75,104.67,95.38,153.86,310.75,349.0,141.62,186.67,212.0,140.62,163.0,138.5,57.25,68.0,156.25,127.0,164.17,101.12,118.36,141.62,94.0,162.0,141.2,71.55,121.2,124.14,94.67,131.0
gtdb_r207_napB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
