,0_SD7449_H041_pH7,1_SD7450_H042_pH7,2_SD7451_H043_pH7,3_SD7452_H044_pH7,4_SD7453_H045_pH7,5_SD7454_H046_pH7,6_SD7455_H048_pH7,7_SD7456_H049_pH7,8_SD7458_H051_pH7,9_SD7460_H053_pH7,10_SD7461_H054_pH7,11_SD7462_H055_pH7,12_SD7463_H056_pH7,13_SD7464_H057_pH7,14_SD7465_H058_pH7,16_SD7467_H061_pH6.5,17_SD7468_H062_pH6.5,18_SD7469_H063_pH6.5,19_SD7470_H065_pH6.5,20_SD7471_H067_pH6.5,21_SD7472_H068_pH6.5,22_SD7473_H069_pH6.5,23_SD7474_H070_pH6.5,24_SD7475_H071_pH6.5,25_SD7476_H072_pH6.5,26_SD7477_H073_pH6.5,27_SD7478_H074_pH6.5,28_SD7479_H075_pH6.5,29_SD7480_H076_pH6.5,30_SD7481_H077_pH6.5,31_SD7482_H078_pH6.5,32_SD7483_H079_pH6.5,33_SD7484_H080_pH6.5,34_SD7485_H081_pH6,36_SD7487_H085_pH6,37_SD7488_H086_pH6,38_SD7489_H087_pH6,39_SD7490_H089_pH6,40_SD7491_H090_pH6,41_SD7492_H091_pH6,42_SD7493_H092_pH6,43_SD7494_H093_pH6,44_SD7495_H094_pH6,45_SD7496_H095_pH6,46_SD7497_H096_pH6,47_SD7498_H097_pH6,48_SD7499_H098_pH6,49_SD7500_H099_pH6,50_SD7501_H100_pH6,51_SD7502_H101_pH5.5,52_SD7503_H102_pH5.5,53_SD7504_H103_pH5.5,54_SD7505_H104_pH5.5,55_SD7506_H105_pH5.5,56_SD7507_H106_pH5.5,57_SD7508_H107_pH5.5,58_SD7509_H109_pH5.5,59_SD7510_H110_pH5.5,60_SD7511_H111_pH5.5,61_SD7512_H113_pH5.5,62_SD7513_H114_pH5.5,63_SD7514_H115_pH5.5,64_SD7515_H116_pH5.5,65_SD7516_H117_pH5.5,66_SD7517_H119_pH5.5,67_SD7518_H120_pH5.5,68_SD7519_S121,69_SD7520_S122,70_SD7521_S123,71_SD7522_S124,72_SD7523_S125,73_SD7524_S126,74_SD7525_S127,75_SD7526_S128,76_SD7527_S129,77_SD7528_S130,78_SD7529_S131,79_SD7530_S132,80_SD7531_S133,81_SD7532_S134,82_SD7533_S135,83_SD7534_S136,84_SD7535_S137,85_SD7536_S138,86_SD7537_S139,87_SD7538_S140,88_SD7539_S141,89_SD7540_S142,90_SD7541_S143,91_SD7542_S144,93_SD7544_S146,94_SD7545_S147,95_SD7546_S148,96_SD7547_S149,97_SD7548_S150,98_SD7549_S151,99_SD7550_S152,100_SD7551_S153,101_SD7552_S154,102_SD7553_S155,103_SD7554_S156,104_SD7555_S157,105_SD7556_S158,106_SD7557_S159,107_SD7558_S160,108_SD7559_S161,109_SD7560_S162,110_SD7561_S163,111_SD7562_S164,112_SD7563_S165,113_SD7564_S166,114_SD7565_S167,115_SD7566_S168,116_SD7567_S169,117_SD7568_S170,118_SD7569_S171,119_SD7570_S172,120_SD7571_S173,121_SD7572_S174,122_SD7573_S175
gtdb_r207_glnA,39,30,33,32,32,32,35,48,33,36,30,33,27,35,34,35,33,28,36,31,37,28,30,27,38,38,36,33,NA,39,32,36,30,32,30,32,28,25,38,28,32,33,30,28,29,28,36,42,33,30,26,27,29,33,29,28,29,20,27,30,29,30,22,27,27,27,28,27,24,23,21,24,22,25,27,25,25,20,35,28,25,28,24,22,27,28,25,28,20,32,22,28,29,21,24,25,25,31,35,31,28,23,23,20,20,23,18,26,20,21,32,28,25,34,18,26,19,21,26,30
gtdb_r207_glsA,19,19,14,24,10,17,18,17,21,19,23,20,15,17,19,15,20,18,23,18,19,15,16,21,15,20,20,19,NA,24,23,17,21,15,21,18,15,14,19,17,18,21,17,20,16,14,17,15,22,18,17,14,12,22,18,15,19,18,17,18,NA,19,18,15,15,23,17,20,NA,16,20,NA,16,15,23,18,19,20,14,18,20,13,23,21,NA,18,NA,NA,NA,16,NA,NA,NA,NA,12,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_gltB,4,4,6,5,7,6,8,5,6,5,4,6,5,7,4,6,5,7,5,6,5,7,6,5,4,5,5,6,NA,7,4,6,4,4,6,6,7,6,7,5,5,3,7,6,6,4,6,4,5,3,5,4,7,4,3,4,5,4,3,6,5,6,4,4,5,6,4,6,5,4,4,4,3,5,5,4,6,4,5,5,6,5,6,4,4,6,6,4,4,4,4,5,4,5,6,6,5,4,5,5,5,3,4,4,4,3,5,3,4,4,5,4,3,5,5,3,5,5,3,4
gtdb_r207_gltD,275,284,281,288,277,279,300,294,299,308,287,248,280,268,260,301,297,267,291,273,281,268,257,292,290,274,280,276,NA,284,290,278,294,280,279,271,270,255,282,279,256,256,259,286,278,275,283,282,267,264,256,245,245,278,230,259,242,223,273,242,241,249,278,263,228,234,253,237,243,230,209,233,222,221,232,219,210,212,240,243,226,249,229,214,222,226,216,202,208,272,213,212,221,208,196,211,240,268,240,236,236,210,190,176,188,167,173,214,204,209,248,208,215,193,184,196,166,185,172,185
gtdb_r207_gltS,6,6,4,5,6,4,6,6,6,5,5,5,5,4,3,7,4,3,6,4,4,6,4,5,7,4,4,5,NA,6,5,4,5,7,4,5,6,5,7,4,5,5,4,5,6,5,5,6,6,4,5,5,6,4,4,6,5,5,3,5,6,6,6,6,5,6,5,3,6,6,5,6,5,4,4,5,4,6,6,7,4,5,6,5,4,5,5,4,4,4,6,5,5,4,6,4,6,6,5,5,4,5,6,4,3,4,4,5,4,4,5,6,6,2,5,3,5,4,4,4
gtdb_r207_gudB,32,26,30,35,27,24,28,27,28,28,31,25,21,27,29,23,29,20,30,27,23,30,19,26,28,26,26,29,NA,26,23,26,28,28,25,26,23,25,20,25,30,30,25,28,20,25,26,24,27,25,24,18,20,19,23,21,19,26,24,28,24,32,22,25,21,25,23,21,16,21,17,16,24,20,24,18,19,23,17,21,23,20,21,19,15,24,12,16,16,20,19,17,13,22,17,15,20,25,20,18,19,19,15,19,14,11,11,17,22,15,22,20,16,14,14,15,12,17,14,13
gtdb_r207_hao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_hcp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_hzo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_hzsA,36,33,33,34,24,34,34,31,40,26,29,31,27,28,29,38,33,31,27,31,30,30,32,35,35,32,30,32,NA,33,30,34,39,29,31,27,32,33,39,31,32,35,29,30,33,32,29,34,35,30,31,23,33,32,28,31,33,26,31,32,30,26,35,30,24,24,33,31,27,26,25,23,23,27,21,19,26,21,27,29,25,27,22,22,32,25,15,14,14,30,16,18,15,13,15,15,17,25,18,22,21,22,16,12,9,12,11,NA,19,21,32,24,16,23,14,NA,13,14,13,14
gtdb_r207_hzsB,21,20,22,26,23,18,22,21,24,24,21,22,26,20,21,21,23,22,23,26,24,21,24,20,22,25,21,19,NA,22,20,25,25,20,23,23,21,21,19,23,29,24,23,18,21,24,23,21,23,19,21,19,18,23,23,17,28,23,21,17,19,19,17,18,20,21,23,18,15,16,17,13,16,17,18,13,18,17,25,27,17,20,19,13,14,17,12,NA,16,23,17,13,14,NA,13,15,15,23,18,15,NA,13,8,11,NA,3,10,NA,10,10,18,13,NA,11,9,NA,6,6,14,14
gtdb_r207_hzsC,96,99,97,85,88,99,100,94,96,90,89,91,88,93,94,94,90,98,93,93,88,91,80,96,86,88,92,94,NA,92,87,92,96,91,82,90,98,89,92,101,87,87,88,93,92,94,93,94,87,90,82,93,86,96,84,89,92,81,88,94,85,89,95,91,82,100,88,87,83,82,88,92,84,88,89,85,78,85,91,96,82,91,85,86,87,79,87,83,75,89,81,82,85,74,83,83,91,88,86,82,89,73,83,75,71,73,65,77,77,80,96,84,80,75,76,63,66,59,66,83
gtdb_r207_napA,38,41,41,41,53,47,45,38,39,53,38,44,39,38,35,47,40,42,43,36,48,46,41,49,38,38,39,39,NA,45,44,42,49,42,46,41,36,39,45,42,43,35,42,49,44,40,45,45,36,39,36,31,33,37,27,30,35,34,40,31,32,36,33,37,37,40,41,31,27,29,36,33,28,30,33,31,34,29,32,34,35,27,34,28,23,31,25,28,23,37,33,30,31,29,24,30,30,38,25,35,34,29,23,20,21,21,21,18,22,24,36,31,26,21,24,26,24,18,25,26
gtdb_r207_napB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_narB,59,61,59,69,63,54,64,65,58,65,61,60,55,57,55,61,56,61,60,50,59,53,56,52,58,58,60,57,NA,55,52,65,63,58,53,60,60,59,59,58,51,64,55,56,56,65,68,59,60,48,53,55,48,59,52,54,45,47,52,52,55,57,50,54,48,47,45,53,45,45,44,48,50,40,53,42,46,46,51,44,48,53,47,46,46,50,45,38,44,52,50,42,50,35,39,43,45,54,46,53,49,42,40,43,41,38,40,41,44,43,59,49,56,40,43,37,40,35,43,38
gtdb_r207_narC,22,20,25,32,24,25,20,22,22,23,27,29,21,19,19,25,26,25,26,20,22,21,28,24,28,22,24,26,NA,24,27,31,25,26,25,26,26,24,21,27,24,24,21,27,22,25,22,25,25,24,18,21,26,25,19,23,24,19,24,28,24,23,19,24,23,23,28,26,22,22,20,22,25,22,22,27,27,21,27,25,25,25,23,23,22,21,22,18,18,26,20,24,25,23,19,21,25,20,24,24,21,20,19,20,16,20,20,25,27,19,22,16,22,22,20,14,16,18,16,16
gtdb_r207_narG_nxrA,48,38,39,40,44,42,45,40,45,38,42,41,45,36,38,41,46,38,41,33,43,38,44,38,40,45,42,42,NA,35,40,44,38,38,39,40,38,33,40,44,38,37,31,38,38,42,48,42,47,35,36,29,31,40,28,34,34,32,39,38,34,30,36,28,31,29,40,33,31,29,29,29,30,26,28,29,35,31,38,30,28,24,28,28,33,30,25,26,24,35,29,29,31,23,22,30,23,34,32,36,34,23,22,23,22,23,23,25,27,25,35,30,30,24,23,NA,16,26,25,27
gtdb_r207_narH_nxrB,21,20,22,26,24,21,25,23,18,20,26,20,15,16,18,20,25,16,20,20,19,20,22,19,22,19,22,19,NA,17,18,25,19,24,17,22,19,19,22,20,14,20,21,20,20,18,25,23,19,19,18,20,17,18,18,14,18,17,21,19,19,20,17,19,16,16,15,23,15,16,17,14,15,16,19,15,16,14,19,16,18,17,19,17,15,16,13,9,14,20,12,13,16,12,11,12,11,24,17,13,13,12,11,9,10,9,12,12,12,9,19,17,17,16,13,12,11,10,11,13
gtdb_r207_narI,9,11,12,NA,NA,12,NA,NA,14,NA,NA,14,NA,15,9,NA,NA,11,NA,12,NA,15,9,11,NA,13,10,13,NA,10,12,15,NA,14,14,15,14,15,13,NA,17,13,12,13,13,15,13,12,15,13,12,14,14,17,11,10,11,16,15,13,NA,14,11,16,14,12,11,12,10,9,10,9,10,11,10,10,14,10,14,9,13,10,12,11,13,12,NA,NA,10,11,8,10,12,NA,12,10,9,11,10,NA,9,10,9,10,9,10,11,7,10,12,14,11,12,11,9,NA,9,9,8,9
gtdb_r207_narJ,NA,15,17,NA,NA,17,NA,NA,NA,NA,16,16,NA,12,9,NA,NA,16,NA,16,11,18,14,16,18,20,NA,16,NA,14,17,15,9,15,17,15,17,19,20,NA,16,19,18,16,16,17,16,NA,18,17,17,15,18,11,17,16,18,20,NA,14,NA,17,17,17,18,17,18,16,17,14,17,NA,20,20,20,15,17,18,23,15,14,16,18,13,15,18,16,NA,14,14,NA,13,NA,NA,16,15,NA,14,NA,NA,NA,12,12,12,NA,11,11,NA,11,17,NA,NA,NA,12,13,NA,10,16,14,13
gtdb_r207_nasA,69,69,68,79,62,69,65,74,71,72,66,65,64,61,63,67,72,76,70,64,73,76,71,71,79,64,69,68,NA,73,74,70,66,66,71,76,69,67,71,69,62,60,66,71,62,66,71,70,69,67,64,62,62,60,57,65,61,55,70,63,68,61,60,61,59,67,56,65,51,63,49,52,59,59,62,54,54,50,62,62,57,52,43,51,51,52,52,51,50,69,55,44,57,43,47,53,52,62,57,62,56,54,48,52,41,42,47,51,51,47,63,60,57,64,51,39,44,44,52,50
gtdb_r207_nasB,77,76,85,83,65,74,76,76,80,87,76,79,86,72,81,78,80,78,76,84,79,86,77,73,79,71,87,83,NA,76,89,73,67,79,80,79,76,73,72,70,69,72,74,73,79,86,79,84,78,66,79,67,83,78,70,71,74,75,79,71,70,73,74,77,71,84,72,77,69,69,68,71,65,72,76,70,67,67,71,71,70,70,74,57,67,64,65,57,55,77,72,53,63,63,53,64,65,71,62,66,64,51,50,46,46,45,51,57,56,50,64,62,53,51,53,51,51,56,51,55
gtdb_r207_nifD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_nifH,58,51,61,63,56,56,55,60,54,62,64,59,65,56,43,56,55,55,56,57,59,56,52,51,63,51,66,68,NA,56,56,58,60,50,50,57,51,57,49,57,49,57,57,58,54,46,59,60,54,55,48,46,46,55,47,45,54,46,51,58,57,54,57,59,51,53,53,51,34,45,38,54,44,50,42,48,43,41,50,53,51,53,44,39,45,48,49,47,44,55,48,41,43,42,40,41,45,52,50,43,45,41,35,32,39,33,28,46,33,40,50,41,45,44,40,35,34,40,42,38
gtdb_r207_nifK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_nirA,25,30,26,25,25,29,24,30,24,25,26,25,27,21,24,26,30,28,29,30,30,34,30,34,23,26,27,22,NA,29,31,32,25,28,27,26,28,28,24,29,29,28,28,29,30,24,25,30,23,27,26,29,33,30,32,33,25,26,29,24,26,26,21,33,23,29,23,26,24,25,25,34,27,25,32,26,25,27,30,25,26,29,28,21,26,27,27,22,23,26,30,25,26,23,25,19,28,30,28,32,29,28,23,20,21,26,19,29,28,26,30,27,28,24,23,25,28,25,18,21
gtdb_r207_nirB,32,31,34,35,31,25,32,31,28,32,27,30,36,27,29,27,28,33,30,26,38,29,33,33,31,28,31,33,NA,30,28,29,26,28,23,28,27,32,28,34,31,29,30,26,35,37,28,37,27,29,29,30,36,31,28,27,29,30,27,32,30,28,27,26,31,25,26,27,28,28,26,20,22,25,31,23,29,26,31,34,26,27,30,25,29,26,30,23,25,33,26,25,28,20,29,24,26,28,21,26,25,17,19,14,22,19,18,18,24,23,25,22,22,24,19,21,16,17,20,19
